"code_article";"unite"
"P0000585";"PAQUET"
"P0000594";"BID"
"P0000611";"SEAU"
"P0000765";"POC"
"P0001068";"BOUTEILLE"
"P0001138";"BOITE"
"P0001646";"BOUTEILLE"
"P0001748";"SACH"
"P0001779";"SAC"
"P0002040";"PACK"
"P0002174";"CAR"
"P0002991";"BOITE"
"P0003146";"BID"
"P0003157";"KG"
"P0003233";"BOITE"
"P0003266";"SACH"
"P0003639";"SAC"
"P0003881";"SACH"
"P0004298";"CAR"
"P8005718";"BOITE"
"P8014650";"BOITE"
"P8038081";"PI"
